Qid	Query	Rank	SubsectionText	ChapterTitle	SectionTitle	SubsectionTitle	Keywords
1	child tax credit	1	(c) Qualifying child For purposes of this section (1) In general The term qualifying child means a qualifying child of the taxpayer (as defined in section 152(c)) who has not attained age 17. (2) Exception for certain noncitizens The term qualifying child shall not include any individual who would not be a dependent if subparagraph (A) of section 152(b)(3) were applied without regard to all that follows resident of the United States.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Nonrefundable Personal Credits	Child tax credit - Qualifying child	term qualifying child means, term qualifying child, qualifying child, united states, attained age 17, applied, exception, individual, taxpayer, defined, noncitizens, resident, purposes, general, dependent, include
1	child tax credit	2	(a) Allowance of credit There shall be allowed as a credit against the tax imposed by this chapter for the taxable year with respect to each qualifying child of the taxpayer for which the taxpayer is allowed a deduction under section 151 an amount equal to $1,000.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Nonrefundable Personal Credits	Child tax credit - Allowance of credit	qualifying child, amount equal, taxable year, tax imposed, taxpayer, deduction, credit, allowed, respect, allowance
1	child tax credit	3	(e) Identification requirements (1) Qualifying child identification requirement No credit shall be allowed under this section to a taxpayer with respect to any qualifying child unless the taxpayer includes the name and taxpayer identification number of such qualifying child on the return of tax for the taxable year and such taxpayer identification number was issued on or before the due date for filing such return. (2) Taxpayer identification requirement No credit shall be allowed under this section if the identifying number of the taxpayer was issued after the due date for filing the return for the taxable year.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Nonrefundable Personal Credits	Child tax credit - Identification requirements	qualifying child identification requirement, taxpayer identification requirement, taxpayer identification number, qualifying child, identification requirements, identifying number, taxpayer includes, due date, taxable year, taxpayer, return, issued, tax, credit, allowed, respect, filing
1	child tax credit	4	(b) Limitations (1) Limitation based on adjusted gross income The amount of the credit allowable under subsection (a) shall be reduced (but not below zero) by $50 for each $1,000 (or fraction thereof) by which the taxpayers modified adjusted gross income exceeds the threshold amount. For purposes of the preceding sentence, the term modified adjusted gross income means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933. (2) Threshold amount For purposes of paragraph (1), the term threshold amount means (A) $110,000 in the case of a joint return, (B) $75,000 in the case of an individual who is not married, and (C) $55,000 in the case of a married individual filing a separate return. For purposes of this paragraph, marital status shall be determined under section 7703.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Nonrefundable Personal Credits	Child tax credit - Limitations	term modified adjusted gross income means adjusted gross income increased, taxpayers modified adjusted gross income exceeds, adjusted gross income, term threshold amount means, gross income, married individual filing, threshold amount, amount excluded, credit allowable, limitation based, preceding sentence, separate return, fraction thereof, joint return, marital status, amount, individual, married, purposes, determined, limitations, reduced
1	child tax credit	5	(d) Portion of credit refundable (1) In general The aggregate credits allowed to a taxpayer under subpart C shall be increased by the lesser of (A) the credit which would be allowed under this section without regard to this subsection and the limitation under section 26(a) or (B) the amount by which the aggregate amount of credits allowed by this subpart (determined without regard to this subsection) would increase if the limitation imposed by section 26(a) were increased by the greater of (i) 15 percent of so much of the taxpayers earned income (within the meaning of section 32) which is taken into account in computing taxable income for the taxable year as exceeds $3,000, or (ii) in the case of a taxpayer with 3 or more qualifying children, the excess (if any) of (I) the taxpayers social security taxes for the taxable year, over (II) the credit allowed under section 32 for the taxable year. The amount of the credit allowed under this subsection shall not be treated as a credit allowed under this subpart and shall reduce the amount of credit otherwise allowable under subsection (a) without regard to section 26(a). For purposes of subparagraph (B), any amount excluded from gross income by reason of section 112 shall be treated as earned income which is taken into account in computing taxable income for the taxable year. (2) Social security taxes For purposes of paragraph (1) (A) In general The term social security taxes means, with respect to any taxpayer for any taxable year (i) the amount of the taxes imposed by sections 3101 and 3201(a) on amounts received by the taxpayer during the calendar year in which the taxable year begins, (ii) 50 percent of the taxes imposed by section 1401 on the self-employment income of the taxpayer for the taxable year, and (iii) 50 percent of the taxes imposed by section 3211(a) on amounts received by the taxpayer during the calendar year in which the taxable year begins. (B) Coordination with special refund of social security taxes The term social security taxes shall not include any taxes to the extent the taxpayer is entitled to a special refund of such taxes under section 6413(c). (C) Special rule Any amounts paid pursuant to an agreement under section 3121( l ) (relating to agreements entered into by American employers with respect to foreign affiliates) which are equivalent to the taxes referred to in subparagraph (A)(i) shall be treated as taxes referred to in such subparagraph. [(3) , (4) Repealed. Pub. L. 114113, div. Q, title I , §101(b), Dec. 18, 2015 , 129 Stat. 3044 ] (5) Exception for taxpayers excluding foreign earned income Paragraph (1) shall not apply to any taxpayer for any taxable year if such taxpayer elects to exclude any amount from gross income under section 911 for such taxable year.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Nonrefundable Personal Credits	Child tax credit - Portion of credit refundable	term social security taxes means, taxpayers excluding foreign earned income, term social security taxes, taxpayers social security taxes, social security taxes, taxpayers earned income, amounts paid pursuant, computing taxable income, taxable year begins, aggregate credits allowed, earned income, foreign affiliates, self-employment income, gross income, taxes referred, taxes imposed, credits allowed, taxable year, amounts received, calendar year, agreements entered, qualifying children, american employers, special refund, special rule, aggregate amount, credit allowed, credit refundable, limitation imposed, amount excluded, taxpayer elects, taxes, allowed, credit, limitation, amount, taxpayer, coordination, title, 50 percent, 15 percent, increased, 129 stat, exception, exceeds $3, div, reduce, subpart, increase, apply, equivalent, agreement, pub, reason, extent, excess, repealed, respect, relating, account, include, lesser, determined, dec, treated, purposes, general, exclude, greater, allowable, entitled, meaning, portion
2	what is the tax bracket for married couple filing separately	1	(d) Married individuals filing separate returns There is hereby imposed on the taxable income of every married individual (as defined in section 7703) who does not make a single return jointly with his spouse under section 6013, a tax determined in accordance with the following table: If taxable income is: The tax is: Not over $18,450 15% of taxable income. Over $18,450 but not over $44,575 $2,767.50, plus 28% of the excess over $18,450. Over $44,575 but not over $70,000 $10,082.50, plus 31% of the excess over $44,575. Over $70,000 but not over $125,000 $17,964.25, plus 36% of the excess over $70,000. Over $125,000 $37,764.25, plus 39.6% of the excess over $125,000.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - TAX ON INDIVIDUALS	Tax imposed - Married individuals filing separate returns	married individuals filing separate returns, single return jointly, married individual, taxable income, tax determined, tax, defined, table, make, excess, spouse, imposed, accordance
2	what is the tax bracket for married couple filing separately	2	(f) Phaseout of marriage penalty in 15-percent bracket; adjustments in tax tables so that inflation will not result in tax increases (1) In general Not later than December 15 of 1993, and each subsequent calendar year, the Secretary shall prescribe tables which shall apply in lieu of the tables contained in subsections (a), (b), (c), (d), and (e) with respect to taxable years beginning in the succeeding calendar year. (2) Method of prescribing tables The table which under paragraph (1) is to apply in lieu of the table contained in subsection (a), (b), (c), (d), or (e), as the case may be, with respect to taxable years beginning in any calendar year shall be prescribed (A) except as provided in paragraph (8), by increasing the minimum and maximum dollar amounts for each rate bracket for which a tax is imposed under such table by the cost-of-living adjustment for such calendar year, (B) by not changing the rate applicable to any rate bracket as adjusted under subparagraph (A), and (C) by adjusting the amounts setting forth the tax to the extent necessary to reflect the adjustments in the rate brackets. (3) Cost-of-living adjustment For purposes of paragraph (2), the cost-of-living adjustment for any calendar year is the percentage (if any) by which (A) the CPI for the preceding calendar year, exceeds (B) the CPI for the calendar year 1992. (4) CPI for any calendar year For purposes of paragraph (3), the CPI for any calendar year is the average of the Consumer Price Index as of the close of the 12-month period ending on August 31 of such calendar year. (5) Consumer Price Index For purposes of paragraph (4), the term Consumer Price Index means the last Consumer Price Index for all-urban consumers published by the Department of Labor. For purposes of the preceding sentence, the revision of the Consumer Price Index which is most consistent with the Consumer Price Index for calendar year 1986 shall be used. (6) Rounding (A) In general If any increase determined under paragraph (2)(A), section 63(c)(4), section 68(b)(2) or section 151(d)(4) is not a multiple of $50, such increase shall be rounded to the next lowest multiple of $50. (B) Table for married individuals filing separately In the case of a married individual filing a separate return, subparagraph (A) (other than with respect to sections 63(c)(4) and 151(d)(4)(A)) shall be applied by substituting $25 for $50 each place it appears. (7) Special rule for certain brackets In prescribing tables under paragraph (1) which apply to taxable years beginning in a calendar year after 1994, the cost-of-living adjustment used in making adjustments to the dollar amounts at which the 36 percent rate bracket begins or at which the 39.6 percent rate bracket begins shall be determined under paragraph (3) by substituting 1993 for 1992. (8) Elimination of marriage penalty in 15-percent bracket With respect to taxable years beginning after December 31, 2003 , in prescribing the tables under paragraph (1) (A) the maximum taxable income in the 15-percent rate bracket in the table contained in subsection (a) (and the minimum taxable income in the next higher taxable income bracket in such table) shall be 200 percent of the maximum taxable income in the 15-percent rate bracket in the table contained in subsection (c) (after any other adjustment under this subsection), and (B) the comparable taxable income amounts in the table contained in subsection (d) shall be ½ of the amounts determined under subparagraph (A).	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - TAX ON INDIVIDUALS	Tax imposed - Phaseout of marriage penalty in 15-percent bracket; adjustments in tax tables so that inflation will not result in tax increases	term consumer price index means, married individuals filing separately, higher taxable income bracket, comparable taxable income amounts, 36 percent rate bracket begins, 6 percent rate bracket begins, married individual filing, consumer price index, maximum taxable income, taxable years beginning, all-urban consumers published, 12-month period ending, minimum taxable income, 15-percent rate bracket, maximum dollar amounts, succeeding calendar year, subsequent calendar year, preceding calendar year, rate bracket, 15-percent bracket, dollar amounts, rate applicable, amounts setting, calendar year 1986, calendar year, calendar year 1992, preceding sentence, amounts determined, rate brackets, marriage penalty, separate return, special rule, prescribe tables, tables contained, cost-of-living adjustment, table contained, tax increases, prescribing tables, lowest multiple, making adjustments, tax tables, increase determined, 200 percent, minimum, tables, adjustment, prescribing, determined, multiple, brackets, increase, table, tax, adjustments, rounded, phaseout, labor, december 15, inflation, imposed, secretary, consistent, apply, close, august 31, provided, substituting $25, december 31, increasing, method, extent, respect, appears, place, exceeds, adjusted, lieu, substituting 1993, percentage, prescribed, adjusting, elimination, applied, result, purposes, general, department, revision, reflect, changing, cpi, average, rounding
2	what is the tax bracket for married couple filing separately	3	(e) Definitions and special rules For purposes of this section (1) Married couple must file joint return Except in the case of a husband and wife who live apart at all times during the taxable year, if the taxpayer is married at the close of the taxable year, the credit provided by this section shall be allowed only if the taxpayer and his spouse file a joint return for the taxable year. (2) Marital status Marital status shall be determined under section 7703. (3) Permanent and total disability defined An individual is permanently and totally disabled if he is unable to engage in any substantial gainful activity by reason of any medically determinable physical or mental impairment which can be expected to result in death or which has lasted or can be expected to last for a continuous period of not less than 12 months. An individual shall not be considered to be permanently and totally disabled unless he furnishes proof of the existence thereof in such form and manner, and at such times, as the Secretary may require.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Nonrefundable Personal Credits	Credit for the elderly and the permanently and totally disabled - Definitions and special rules	marital status marital status, substantial gainful activity, total disability defined, medically determinable physical, file joint return, joint return, spouse file, totally disabled, furnishes proof, existence thereof, special rules, credit provided, mental impairment, taxable year, continuous period, married couple, married, purposes, individual, result, allowed, close, death, unable, taxpayer, live, permanently, expected, 12 months, form, permanent, reason, engage, wife, considered, lasted, times, determined, definitions, secretary, require, husband, manner
2	what is the tax bracket for married couple filing separately	4	(d) Married individuals In the case of an individual who is married (within the meaning of section 7703), this section shall apply only if a joint return is filed for the taxable year under section 6013.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - CREDITS AGAINST TAX - Refundable Credits	Earned income - Married individuals	joint return, taxable year, married individuals, married, meaning, individual, filed, apply
2	what is the tax bracket for married couple filing separately	5	§7451. Fee for filing petition The tax court is authorized to impose a fee in an amount not in excess of $60 to be fixed by the Tax Court for the filing of any petition.	Procedure and Administration - JUDICIAL PROCEEDINGS	The Tax Court - PROCEDURE	Fee for filing petition	tax court, filing petition, filing, petition, fee, impose, amount, authorized, excess, fixed
